# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 2 | avgC: 16.3112 avgA: 40.7597 avgB: 208.503 MNR: 0.375332 GNR: 0.174253 DICE: 0.134517
chA: 0 chB: 3 | avgC: 17.5263 avgA: 40.7597 avgB: 161.311 MNR: 0.410651 GNR: 0.209011 DICE: 0.169919
chA: 0 chB: 4 | avgC: 11.4233 avgA: 40.7597 avgB: 82.0732 MNR: 0.261777 GNR: 0.181988 DICE: 0.169653
chA: 1 chB: 2 | avgC: 32.3416 avgA: 86.7865 avgB: 205.007 MNR: 0.346541 GNR: 0.233182 DICE: 0.214734
chA: 1 chB: 3 | avgC: 34.2517 avgA: 86.7865 avgB: 158.611 MNR: 0.366894 GNR: 0.275124 DICE: 0.262503
chA: 1 chB: 4 | avgC: 20.0225 avgA: 86.7865 avgB: 80.7236 MNR: 0.239162 GNR: 0.218865 DICE: 0.217526
chA: 2 chB: 3 | avgC: 99.1978 avgA: 205.007 avgB: 158.611 MNR: 0.594406 GNR: 0.526358 DICE: 0.521834
chA: 2 chB: 4 | avgC: 32.1798 avgA: 205.007 avgB: 80.7236 MNR: 0.373266 GNR: 0.237841 DICE: 0.215206
chA: 3 chB: 4 | avgC: 35.2966 avgA: 158.611 avgB: 80.7236 MNR: 0.413721 GNR: 0.295883 DICE: 0.279072

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 23.3077 avgA: 40.3371 avgB: 94.6086 MNR: 0.579382 GNR: 0.369031 DICE: 0.333721
chA: 0 chB: 2 | avgC: 14.9434 avgA: 40.3371 avgB: 202.337 MNR: 0.361642 GNR: 0.16293 DICE: 0.123366
chA: 0 chB: 3 | avgC: 17.6335 avgA: 40.3348 avgB: 165.783 MNR: 0.440079 GNR: 0.215126 DICE: 0.17068
chA: 0 chB: 4 | avgC: 12.5407 avgA: 40.3348 avgB: 82.6154 MNR: 0.314694 GNR: 0.212223 DICE: 0.195965
chA: 1 chB: 2 | avgC: 33.0944 avgA: 94.0809 avgB: 201.191 MNR: 0.34343 GNR: 0.238425 DICE: 0.222086
chA: 1 chB: 3 | avgC: 39.5281 avgA: 94.0809 avgB: 164.852 MNR: 0.409352 GNR: 0.310907 DICE: 0.298032
chA: 1 chB: 4 | avgC: 20.5236 avgA: 94.0809 avgB: 82.1528 MNR: 0.24546 GNR: 0.224042 DICE: 0.22271
chA: 2 chB: 3 | avgC: 103.861 avgA: 201.191 avgB: 164.852 MNR: 0.623642 GNR: 0.566283 DICE: 0.562857
chA: 2 chB: 4 | avgC: 33.009 avgA: 201.191 avgB: 82.1528 MNR: 0.396341 GNR: 0.254388 DICE: 0.2307
chA: 3 chB: 4 | avgC: 37.4719 avgA: 164.852 avgB: 82.1528 MNR: 0.444632 GNR: 0.314372 DICE: 0.295632

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 24.8087 avgA: 40.0706 avgB: 89.6492 MNR: 0.599716 GNR: 0.392142 DICE: 0.358405
chA: 0 chB: 2 | avgC: 15.7995 avgA: 40.0683 avgB: 194.435 MNR: 0.371828 GNR: 0.173629 DICE: 0.134217
chA: 0 chB: 3 | avgC: 17.1162 avgA: 40.0683 avgB: 153.285 MNR: 0.428711 GNR: 0.214828 DICE: 0.172864
chA: 0 chB: 4 | avgC: 11.6993 avgA: 40.0683 avgB: 77.2323 MNR: 0.283218 GNR: 0.197433 DICE: 0.184391
chA: 1 chB: 2 | avgC: 31.9843 avgA: 88.5843 avgB: 191.962 MNR: 0.343239 GNR: 0.23786 DICE: 0.221239
chA: 1 chB: 3 | avgC: 37.5371 avgA: 88.5843 avgB: 151.407 MNR: 0.405595 GNR: 0.310796 DICE: 0.298474
chA: 1 chB: 4 | avgC: 18.7888 avgA: 88.5843 avgB: 76.2854 MNR: 0.236107 GNR: 0.213511 DICE: 0.211892
