# ---------- 01 Per-Channel Summary ----------
chA: 2 chB: 3 | avgC: 318.594 avgA: 406.185 avgB: 377.487 MNR: 0.850386 GNR: 0.800127 DICE: 0.797735
chA: 2 chB: 4 | avgC: 124.663 avgA: 406.185 avgB: 429.378 MNR: 0.310493 GNR: 0.294408 DICE: 0.293812
chA: 3 chB: 4 | avgC: 133.096 avgA: 377.486 avgB: 429.378 MNR: 0.353536 GNR: 0.325427 DICE: 0.323604

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 196.696 avgA: 301.534 avgB: 433.768 MNR: 0.656311 GNR: 0.542873 DICE: 0.531938
chA: 0 chB: 2 | avgC: 82.9559 avgA: 301.526 avgB: 401.48 MNR: 0.277944 GNR: 0.237908 DICE: 0.234554
chA: 0 chB: 3 | avgC: 93.937 avgA: 301.516 avgB: 365.173 MNR: 0.320433 GNR: 0.280891 DICE: 0.277861
chA: 0 chB: 4 | avgC: 100.685 avgA: 301.509 avgB: 422.65 MNR: 0.337723 GNR: 0.281032 DICE: 0.275877
chA: 1 chB: 2 | avgC: 133.802 avgA: 433.764 avgB: 401.475 MNR: 0.336466 GNR: 0.315053 DICE: 0.314027
chA: 1 chB: 3 | avgC: 138.633 avgA: 433.764 avgB: 365.169 MNR: 0.373041 GNR: 0.341528 DICE: 0.339656
chA: 1 chB: 4 | avgC: 175.336 avgA: 433.764 avgB: 422.648 MNR: 0.416872 GNR: 0.402031 DICE: 0.40162
chA: 2 chB: 3 | avgC: 310.51 avgA: 401.475 avgB: 365.169 MNR: 0.852991 GNR: 0.798017 DICE: 0.795026
chA: 2 chB: 4 | avgC: 120.518 avgA: 401.474 avgB: 422.644 MNR: 0.30315 GNR: 0.288091 DICE: 0.287535
chA: 3 chB: 4 | avgC: 127.001 avgA: 365.169 avgB: 422.644 MNR: 0.346629 GNR: 0.318396 DICE: 0.316627


# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 204.209 avgA: 307.43 avgB: 447.943 MNR: 0.671705 GNR: 0.552377 DICE: 0.540415
chA: 0 chB: 2 | avgC: 87.1033 avgA: 307.426 avgB: 408.698 MNR: 0.287272 GNR: 0.245473 DICE: 0.241937
chA: 0 chB: 3 | avgC: 101.945 avgA: 307.424 avgB: 380.373 MNR: 0.339322 GNR: 0.295094 DICE: 0.29149
chA: 0 chB: 4 | avgC: 103.422 avgA: 307.42 avgB: 422.589 MNR: 0.34276 GNR: 0.28684 DICE: 0.281799
chA: 1 chB: 2 | avgC: 140.913 avgA: 447.941 avgB: 408.696 MNR: 0.348054 GNR: 0.324188 DICE: 0.322956
chA: 1 chB: 3 | avgC: 150.223 avgA: 447.941 avgB: 380.372 MNR: 0.387224 GNR: 0.356305 DICE: 0.354488
chA: 1 chB: 4 | avgC: 179.9 avgA: 447.941 avgB: 422.587 MNR: 0.4245 GNR: 0.405655 DICE: 0.404968
chA: 2 chB: 3 | avgC: 324.164 avgA: 408.696 avgB: 380.372 MNR: 0.855538 GNR: 0.80654 DICE: 0.804096
chA: 2 chB: 4 | avgC: 122.772 avgA: 408.696 avgB: 422.587 MNR: 0.305888 GNR: 0.290949 DICE: 0.290381
